Name	Molecular form	Microbe	Strain	Target	PubMed ID
"(1-(4-chlorophenoxy)-3-[(4, 6-dimethyl-2-pyrimidinyl) thio]-2- propanol)"	C16H19ClN2O2	Vibrio harveyi	MTCC 3438	N/A	27141809
"(10R,11R)-Hydnocarpin"	C25H20O9	Staphylococcus aureus	8325-4	N/A	26273725
"(10R,11R)-Hydnocarpin D"	C25H20O9	Staphylococcus aureus	8325-4	N/A	26273725
"(10S,11S)-Hydnocarpin D"	C25H20O9	Staphylococcus aureus	8325-4	N/A	26273725
(1E)-1-{[(1E)-prop-1-ene-1-sulfinyl]sulfanyl}prop-1-ene	C6H10OS2	Streptococcus mutans	UA159	N/A	25081571
"(1R,2S,7R,3E,11E)-2,18-diacetoxycembra-3,8(19),11,15(17)-tetraen-7-ol"	C20H32O3	Pseudomonas aeruginosa	ATCC 27853	N/A	22905751
"(1R,2S,7R,3E,11E)-2,18-diacetoxycembra-3,8(19),11,15(17)-tetraen-7-ol"	C20H32O3	Vibrio harveyi	PHY-2A	N/A	22905751
"(1R,2S,7R,3E,8E,11E)-2,18-diacetoxycembra-3,8,11,15(17)-tetraen-7-ol"	C20H32O3	Pseudomonas aeruginosa	ATCC 27853	N/A	22905751
"(1R,2S,7R,3E,8E,11E)-2,18-diacetoxycembra-3,8,11,15(17)-tetraen-7-ol"	C20H32O3	Staphylococcus aureus	ATCC 25923	N/A	22905751
"(1R,2S,7R,3E,8E,11E)-2,18-diacetoxycembra-3,8,11,15(17)-tetraen-7-ol"	C20H32O3	Vibrio harveyi	PHY-2A	N/A	22905751
"(1R,2S,7R,8R)-2,18-diacetoxyasperdiol"	C20H34O2	Pseudomonas aeruginosa	ATCC 27853	N/A	22905751
"(1R,2S,7R,8R)-2,18-diacetoxyasperdiol"	C20H34O2	Vibrio harveyi	PHY-2A	N/A	22905751
"(1R,3S,7R,8S,11S,12R)-3-hydroxy-1,4,8-trimethyl-12-(propan-2-yl)tricyclo[9.3.0.0]tetradec-4-en-6-one"	C20H32O2	Pseudomonas aeruginosa	ATCC 27853	N/A	21384863
"(1R,4R,8S,11S,12R)-4-hydroxy-1,4,8-trimethyl-12-(propan-2-yl)tricyclo[9.3.0.0]tetradec-3(7)-en-6-one"	C20H32O2	Pseudomonas aeruginosa	ATCC 27853	N/A	21384863
(1Z)-(2-phenylethylidene)-lambda4-sulfanyliumolate	C8H8OS	Actinomyces oris	MG1	N/A	25081571
(1Z)-(2-phenylethylidene)-lambda4-sulfanyliumolate	C8H8OS	Streptococcus sanguis	10556	N/A	25081571
(1Z)-(prop-2-en-1-ylidene)-lambda4-sulfanyliumolate	C6H10OS2	Actinomyces oris	MG1	N/A	25081571
(1Z)-(prop-2-en-1-ylidene)-lambda4-sulfanyliumolate	C6H10OS2	Streptococcus mutans	UA159	N/A	25081571
(1Z)-(prop-2-en-1-ylidene)-lambda4-sulfanyliumolate	C6H10OS2	Streptococcus sanguis	10556	N/A	25081571
(1Z)-ethylidene-lambda4-sulfanyliumolate	C2H4OS	Streptococcus mutans	UA159	N/A	25081571
(1Z)-ethylidene-lambda4-sulfanyliumolate	C2H4OS	Streptococcus sanguis	10556	N/A	25081571
"(2-(4-chlorophenyl)- 4-{[(6-methyl-2-pyridinyl)amino]methylene}-1,3-oxazol- 5(4H)-one)"	C16H12ClN3O2	Streptococcus mutans	UA159	N/A	26526453
(2-{[(2-phenylethyl)sulfanyl]sulfinyl}ethyl)benzene	C16H18OS2	Actinomyces oris	MG1	N/A	25081571
(2-{[(2-phenylethyl)sulfanyl]sulfinyl}ethyl)benzene	C16H18OS2	Streptococcus mutans	UA159	N/A	25081571
